Course Name,Class Code,Credits
Differential Calculus,201-SN2-RE,2.66
Integral Calculus,201-SN3-RE,2.0
Linear Algebra I,201-SN4-RE,2.0
Statistics,201-SN1-RE,1.66
Mechanics,203-SN1-RE,2.66
"Waves, Optics and Modern Physics",203-SN2-RE,2.0
Electricity and Magnetism,203-SN3-RE,2.66
General Chemistry,202-SN1-RE,2.66
Solutions and Reaction Dynamics,202-SN2-RE,2.0
Biology 1,101-SN1-RE,2.0
Ecology,101-SN2-RE,1.66
Science and Programming,420-SN1-RE,2.0
Calculus I,201-NYA-05,2.66
Calculus II,201-NYB-05,2.66
Linear Algebra,201-NYC-05,2.66
General Chemistry,202-NYA-05,2.66
Chemistry of Solutions,202-NYB-05,2.66
Mechanics,203-NYA-05,2.66
Electricity and Magnetism,203-NYB-05,2.66
General Biology,101-NYA-05,2.66
Intro to College English,603-101-MQ,2.66
Literary Genres,603-102-MQ,2.33
Literary Themes,603-103-MQ,2.33
Basic French,602-100-MQ,2.0
French Language & Communication,602-101-MQ,2.0
French Language & Culture,602-102-MQ,2.0
Humanities 101,345-101-MQ,2.33
Humanities 102,345-102-MQ,2.0
Physical Education I,109-101-MQ,1.0
Physical Education II,109-102-MQ,1.0
Physical Education III,109-103-MQ,1.0
Programming in Science,420-SN1-RE,2.0
Linear Algebra,201-SN4-RE,2.0
Integral Calculus (Calculus II),201-SN3-RE,2.0
Differential Calculus (Calculus I),201-SN2-RE,2.66
Physics: Mechanics,203-SN1-RE,2.66
"Physics: Waves, Optics & Modern",203-SN2-RE,2.0
Physics: E & M,203-SN3-RE,2.66
Chemistry: General,202-SN1-RE,2.66
Chemistry: Solutions & Dynamics,202-SN2-RE,2.0
Biology,101-SN1-RE,2.0
English 101,603-101-MQ,2.66
French 100,602-100-MQ,2.0
